,Wilayah,Kode Kecamatan,Kecamatan,NamaTaman,Alamat,Luas (m2),Data Tahun
0,Bojonegara,327301,Sukasari,Taman Gegerkalong/Setiabudhi,Jl. Setiabudhi,1528.0,2017
1,Bojonegara,327301,Sukasari,Taman Sukajadi/Setiabudhi,Jl. Setiabudhi,76903.0,2017
2,Bojonegara,327301,Sukasari,Taman Setiabudhi/Karang Sari,Jl. Setiabudhi,66135.0,2017
3,Bojonegara,327301,Sukasari,Taman Batas Kota Setiabudhi,Jl. Setiabudhi,350.0,2017
4,Bojonegara,327301,Sukasari,Taman Pintu Gerbang,Jl. Cijerokaso ,57405.0,2017
5,Bojonegara,327301,Sukasari,Taman Batu,Jl. Cijerokaso ,299033.0,2017
6,Bojonegara,327301,Sukasari,Taman WTP (Groun TankI),Jl. Cijerokaso ,552.0,2017
7,Bojonegara,327301,Sukasari,Taman Kav. 10 - Jembatan 1,Jl. Cijerokaso ,7448.0,2017
8,Bojonegara,327301,Sukasari,Taman Play Ground I,Jl. Cijerokaso ,46491.0,2017
9,Bojonegara,327301,Sukasari,Taman Play Ground II,Jl. Cijerokaso ,36175.0,2017
10,Bojonegara,327301,Sukasari,Taman Kav. 68 - 69,Jl. Cijerokaso ,209.0,2017
11,Bojonegara,327301,Sukasari,Taman Blok F,Jl. Cijerokaso ,18618.0,2017
12,Bojonegara,327301,Sukasari,Taman Sebrang F. 07,Jl. Cijerokaso ,5375.0,2017
13,Bojonegara,327301,Sukasari,Taman Kav. 79,Jl. Cijerokaso ,8875.0,2017
14,Bojonegara,327301,Sukasari,Taman Kav. 88 - 106,Jl. Cijerokaso ,9575.0,2017
15,Bojonegara,327301,Sukasari,Taman Parkir,Jl. Cijerokaso ,116212.0,2017
16,Bojonegara,327301,Sukasari,Taman Masjid dan Masjid,Jl. Cijerokaso ,95654.0,2017
17,Bojonegara,327301,Sukasari,Lapang Basket dan Ground Tank II,Jl. Cijerokaso ,76274.0,2017
18,Bojonegara,327301,Sukasari,Lapangan Tenis,Jl. Cijerokaso ,165342.0,2017
19,Bojonegara,327301,Sukasari,Taman Lansia Komplek KPAD Gegerkalong,Komplek KPAD Gegerkalong,510.0,2017
20,Bojonegara,327301,Sukasari,Jalur Raya Komplek KPAD,Komplek KPAD Gegerkalong,12900.0,2017
21,Bojonegara,327301,Sukasari,Lapangan Olahraga Komplek KPAD Gegerkalong,Komplek KPAD Gegerkalong,20150.0,2017
22,Bojonegara,327301,Sukasari,Taman Anak Komplek KPAD Gegerkalong,Komplek KPAD Gegerkalong,2007.0,2017
23,Bojonegara,327307,Sukajadi,Taman Sukajadi/Cemara,Jl. Sukajadi,395.0,2017
